jaar,code_oud,gemeentenaam_oud,code_nieuw,gemeentenaam_nieuw
2019,0005,Bedum,1966,Het Hogeland
2019,1651,Eemsmond,1966,Het Hogeland
2019,1663,De Marne,1966,Het Hogeland
2019,0053,Winsum,1966,Het Hogeland
2019,0009,Ten Boer,0014,Groningen
2019,0014,Groningen,0014,Groningen
2019,0017,Haren,0014,Groningen
2019,0015,Grootegast,1969,Westerkwartier
2019,0022,Leek,1969,Westerkwartier
2019,0025,Marum,1969,Westerkwartier
2019,0056,Zuidhorn,1969,Westerkwartier
2019,0058,Dongeradeel,1970,Noardeast-Fryslân
2019,0079,Kollumerland en Nieuwkruisland,1970,Noardeast-Fryslân
2019,1722,Ferwerderadiel,1970,Noardeast-Fryslân
2019,0236,Geldermalsen,1960,West Betuwe
2019,0304,Neerijnen,1960,West Betuwe
2019,0733,Lingewaal,1960,West Betuwe
2019,0393,Haarlemmerliede en Spaarnwoude,0394,Haarlemmermeer
2019,0394,Haarlemmermeer,0394,Haarlemmermeer
2019,0545,Leerdam,1961,Vijfheerenlanden
2019,0620,Vianen,1961,Vijfheerenlanden
2019,0707,Zederik,1961,Vijfheerenlanden
2019,0575,Noordwijk,0575,Noordwijk
2019,0576,Noordwijkerhout,0575,Noordwijk
2019,0584,Oud-Beijerland,1963,Hoeksche Waard
2019,0585,Binnenmaas,1963,Hoeksche Waard
2019,0588,Korendijk,1963,Hoeksche Waard
2019,0611,Cromstrijen,1963,Hoeksche Waard
2019,0617,Strijen,1963,Hoeksche Waard
2019,0689,Giessenlanden,1978,Molenlanden
2019,1927,Molenwaard,1978,Molenlanden
2019,0738,Aalburg,1959,Altena
2019,0870,Werkendam,1959,Altena
2019,0874,Woudrichem,1959,Altena
2019,0881,Onderbanken,1954,Beekdaelen
2019,0951,Nuth,1954,Beekdaelen
2019,0962,Schinnen,1954,Beekdaelen
2018,0007,Bellingwedde,1950,Westerwolde
2018,0048,Vlagtwedde,1950,Westerwolde
2018,0018,Hoogezand-Sappemeer,1952,Midden-Groningen
2018,0040,Slochteren,1952,Midden-Groningen
2018,1987,Menterwolde,1952,Midden-Groningen
2018,0063,het Bildt,1949,Waadhoeke
2018,0070,Franekeradeel,1949,Waadhoeke
2018,1908,Menameradiel,1949,Waadhoeke
2018,0080,Leeuwarden,0080,Leeuwarden
2018,0081,Leeuwarderadeel,0080,Leeuwarden
2018,1900,Súdwest-Fryslân,1900,Súdwest-Fryslân
2018,0196,Rijnwaarden,0299,Zevenaar
2018,0299,Zevenaar,0299,Zevenaar
2017,0844,Schijndel,1948,Meierijstad
2017,0846,Sint-Oedenrode,1948,Meierijstad
2017,0860,Veghel,1948,Meierijstad
2016,1921,De Friese Meren1,1940,De Fryske Marren
2016,0241,Groesbeek,1945,Berg en Dal
2016,0381,Bussum,1942,Gooise Meren
2016,0424,Muiden,1942,Gooise Meren
2016,0425,Naarden,1942,Gooise Meren
2016,0385,Edam-Volendam,0385,Edam-Volendam
2016,0478,Zeevang,0385,Edam-Volendam
2015,0361,Alkmaar,0361,Alkmaar
2015,0365,Graft-De Rijp,0361,Alkmaar
2015,0458,Schermer,0361,Alkmaar
2015,0241,Groesbeek,0241,Groesbeek
2015,0265,Millingen aan de Rijn,0241,Groesbeek
2015,0282,Ubbergen,0241,Groesbeek
2015,0568,Bernisse,1930,Nissewaard
2015,0612,Spijkenisse,1930,Nissewaard
2015,0491,Bergambacht,1931,Krimpenerwaard
2015,0643,Nederlek,1931,Krimpenerwaard
2015,0644,Ouderkerk,1931,Krimpenerwaard
2015,0608,Schoonhoven,1931,Krimpenerwaard
2015,0623,Vlist,1931,Krimpenerwaard
2015,0796,s-Hertogenbosch,0796,s-Hertogenbosch
2015,0828,Oss,0828,Oss
2015,1671,Maasdonk,0000,s-Hertogenbosch/Oss
2014,0484,Alphen aan den Rijn,0484,Alphen aan den Rijn
2014,0499,Boskoop,0484,Alphen aan den Rijn
2014,1672,Rijnwoude,0484,Alphen aan den Rijn
2014,0653,Gaasterlân-Sleat,1921,De Friese Meren
2014,0082,Lemsterland,1921,De Friese Meren
2014,0051,Skasterlân,1921,De Friese Meren
2014,0080,Leeuwarden,0080,Leeuwarden
2013,0395,Harenkarspel,0441,Schagen
2013,0441,Schagen,0441,Schagen
2013,0476,Zijpe,0441,Schagen
2013,0504,Dirksland,1924,Goeree-Overflakkee
2013,0511,Goedereede,1924,Goeree-Overflakkee
2013,0559,Middelharnis,1924,Goeree-Overflakkee
2013,0580,Oostflakkee,1924,Goeree-Overflakkee
2013,0693,Graafstroom,1927,Molenwaard
2013,0694,Liesveld,1927,Molenwaard
2013,0571,Nieuw-Lekkerland,1927,Molenwaard
2023,0501,Brielle,1992,Voorne aan Zee
2023,0530,Hellevoetsluis,1992,Voorne aan Zee
2023,0614,Westvoorne,1992,Voorne aan Zee
2023,0363,Amsterdam,0363,Amsterdam
2023,0457,Weesp,0363,Amsterdam
2022,0370,Beemster,0439,Purmerend
2022,0439,Purmerend,0439,Purmerend
2022,0398,Heerhugowaard,1980,Dijk en Waard
2022,0416,Langedijk,1980,Dijk en Waard
2022,1685,Landerd,1991,Maashorst
2022,0856,Uden,1991,Maashorst
2022,0756,Boxmeer,1982,Land van Cuijk
2022,1684,Cuijk,1982,Land van Cuijk
2022,0786,Grave,1982,Land van Cuijk
2022,0815,Mill en Sint Hubert,1982,Land van Cuijk
2022,1702,Sint Anthonis,1982,Land van Cuijk
2021,0003,Appingedam,1979,Eemsdelta
2021,0010,Delfzijl,1979,Eemsdelta
2021,0024,Loppersum,1979,Eemsdelta
2020,0788,Haaren,0824,Oisterwijk
2020,0788,Haaren,0865,Vught
2020,0788,Haaren,0757,Boxtel
2020,0788,Haaren,0855,Tilburg